mechanism,adaptive_gain_scale,adaptive_gain_value,selected_coupling_memory_gain_rad_h,condition,D_period_h,V_period_h,mean_DV_period_h,mean_gap_h,mean_tau_D_h,mean_K_effective_rad_h,mean_gap_rad,delta_omega_rad_h,K_effective_rad_h,locking_ratio,phase_lock_possible,fractional_change,percent_change,D_period_change_h,V_period_change_h,mean_DV_period_change_h,gap_change_h,baseline_phase_lock_possible
adaptive period,0.65,5.1964062194212115,-0.484,SP,23.914590747330962,23.914590747330962,23.914590747330962,0.08828072660846299,23.99373365127576,0.0035750484417668123,0.02311184018055969,0.0004267233436406892,0.0035750484417668123,0.11936155568001192,True,-0.35,-35.0,-0.08540925266903798,-0.08540925266903798,-0.08540925266903798,0.07011180317188992,True
adaptive period,0.65,5.1964062194212115,-0.484,LP,23.57894736842105,23.661971830985912,23.62045959970348,0.6212206365899862,23.84931067637479,0.0035750484417668123,0.16263518234745625,0.002012501715802917,0.0035750484417668123,0.5629299151002064,True,-0.35,-35.0,0.08244387191755465,0.08302446256486107,0.08273416724120608,-0.24699387230368675,True
adaptive period,0.65,5.1964062194212115,-0.484,LD,23.745583038869256,23.829787234042556,23.787685136455906,0.3549988499985817,23.92093614899975,0.0035750484417668123,0.09293848159903077,0.0012236536478004156,0.0035750484417668123,0.3422761027528002,True,-0.35,-35.0,0.0,0.08420419517329947,0.042102097586649734,-0.08406724482065026,True
adaptive period,0.65,5.1964062194212115,-0.484,T22,24.436363636363637,24.436363636363637,24.436363636363637,-0.7028301363310089,24.249588055948443,0.0035750484417668123,-0.18400049941825083,-0.0023362110169982686,0.0035750484417668123,0.653476744455999,True,-0.35,-35.0,-0.45252525252525544,-0.26951871657754367,-0.36102198455139956,0.5955603205377941,False
adaptive period,0.65,5.1964062194212115,-0.484,T26,23.17241379310345,23.333333333333332,23.25287356321839,1.4030047817273839,23.610198042281098,0.0035750484417668123,0.36730579293550836,0.004680631378533473,0.0035750484417668123,1.3092497779471415,False,-0.35,-35.0,0.3927527761542926,0.31963470319634624,0.3561937396753194,-0.8257289151149676,False
adaptive period,0.7000000000000001,5.596129774761305,-0.484,SP,23.914590747330962,24.0,23.95729537366548,0.07863770598119582,23.99663680233044,0.0035750484417668123,0.020587303283806577,0.0003950421679600469,0.0035750484417668123,0.11049980843471158,True,-0.29999999999999993,-29.999999999999993,-0.08540925266903798,0.0,-0.04270462633451899,0.06046878254462275,True
adaptive period,0.7000000000000001,5.596129774761305,-0.484,LP,23.57894736842105,23.661971830985912,23.62045959970348,0.6540814858561395,23.839564617740276,0.0035750484417668123,0.17123813256789533,0.0021202064361913187,0.0035750484417668123,0.5930567013921352,True,-0.29999999999999993,-29.999999999999993,0.08244387191755465,0.08302446256486107,0.08273416724120608,-0.21413302303753345,True
adaptive period,0.7000000000000001,5.596129774761305,-0.484,LD,23.745583038869256,23.829787234042556,23.787685136455906,0.36625643682401615,23.917568036643775,0.0035750484417668123,0.09588571093802528,0.0012606425335687232,0.0035750484417668123,0.35262250403121964,True,-0.29999999999999993,-29.999999999999993,0.0,0.08420419517329947,0.042102097586649734,-0.07280965799521583,True
adaptive period,0.7000000000000001,5.596129774761305,-0.484,T22,24.525547445255473,24.436363636363637,24.480955540809553,-0.7839691463452485,24.274666272003188,0.0035750484417668123,-0.20524264256660785,-0.0026038928359066182,0.0035750484417668123,0.7283517631497484,True,-0.29999999999999993,-29.999999999999993,-0.3633414436334199,-0.26951871657754367,-0.31643008010548357,0.5144213105235544,False
adaptive period,0.7000000000000001,5.596129774761305,-0.484,T26,23.09278350515464,23.252595155709344,23.172689330431993,1.511048499145047,23.579243887986955,0.0035750484417668123,0.3955915720109969,0.005029988263797969,0.0035750484417668123,1.4069706594834601,False,-0.29999999999999993,-29.999999999999993,0.31312248820548305,0.23889652557235763,0.2760095068889221,-0.7176851976973044,False
adaptive period,0.75,5.995853330101398,-0.484,SP,23.914590747330962,24.0,23.95729537366548,0.06887293322699534,23.999577450299796,0.0035750484417668123,0.018030891754759075,0.0003629596140994895,0.0035750484417668123,0.1015257890939549,True,-0.25,-25.0,-0.08540925266903798,0.0,-0.04270462633451899,0.050704009790422264,True
adaptive period,0.75,5.995853330101398,-0.484,LP,23.57894736842105,23.661971830985912,23.62045959970348,0.6877050854021076,23.829605012333545,0.0035750484417668123,0.18004077034463353,0.0022303621013579633,0.0035750484417668123,0.6238690573534449,True,-0.25,-25.0,0.08244387191755465,0.08302446256486107,0.08273416724120608,-0.1805094234915653,True
