condition,K_VD_rad_h,phi_star_rad,stability,delta_omega_rad_h,K_DV_rad_h
SP,0.014829659318637275,3.059849627070582,unstable,0.0001963492545675738,0.012424951558233189
SP,0.014929859719438878,0.07846630396053289,stable,0.0001963492545675738,0.012424951558233189
SP,0.014929859719438878,3.0631263496292602,unstable,0.0001963492545675738,0.012424951558233189
SP,0.01503006012024048,0.07544239676697195,stable,0.0001963492545675738,0.012424951558233189
SP,0.01503006012024048,3.066150256822821,unstable,0.0001963492545675738,0.012424951558233189
SP,0.015130260521042084,0.07264310786898953,stable,0.0001963492545675738,0.012424951558233189
SP,0.015130260521042084,3.0689495457208036,unstable,0.0001963492545675738,0.012424951558233189
SP,0.015230460921843688,0.07004428640190596,stable,0.0001963492545675738,0.012424951558233189
SP,0.015230460921843688,3.071548367187887,unstable,0.0001963492545675738,0.012424951558233189
SP,0.015330661322645291,0.0676251265278709,stable,0.0001963492545675738,0.012424951558233189
SP,0.015330661322645291,3.0739675270619227,unstable,0.0001963492545675738,0.012424951558233189
SP,0.015430861723446893,0.06536760728561353,stable,0.0001963492545675738,0.012424951558233189
SP,0.015430861723446893,3.076225046304179,unstable,0.0001963492545675738,0.012424951558233189
SP,0.015531062124248497,0.06325604142741614,stable,0.0001963492545675738,0.012424951558233189
SP,0.015531062124248497,3.078336612162377,unstable,0.0001963492545675738,0.012424951558233189
SP,0.0156312625250501,0.06127670926561146,stable,0.0001963492545675738,0.012424951558233189
SP,0.0156312625250501,3.080315944324182,unstable,0.0001963492545675738,0.012424951558233189
SP,0.015731462925851702,0.059417559399471465,stable,0.0001963492545675738,0.012424951558233189
SP,0.015731462925851702,3.0821750941903217,unstable,0.0001963492545675738,0.012424951558233189
